instance,algorithm,cost,permutation
bur26f,STEEPEST,3782599,15 20 2 23 16 1 21 9 17 7 5 13 19 14 25 4 3 10 12 11 18 22 6 0 8 24
bur26f,STEEPEST,3782486,7 19 20 22 17 0 1 8 16 6 25 13 21 14 9 4 3 12 11 10 18 23 5 2 24 15
bur26f,STEEPEST,3814041,12 14 15 23 11 3 22 19 18 24 2 5 7 16 21 4 20 9 17 13 10 6 1 25 8 0
bur26f,STEEPEST,3791716,7 5 23 2 17 21 3 15 18 20 24 1 14 16 9 4 22 11 13 12 10 19 6 25 8 0
bur26f,STEEPEST,3794925,1 2 24 8 11 6 5 4 10 0 3 7 15 12 20 9 21 17 16 18 13 25 14 22 19 23
bur26f,STEEPEST,3797448,20 0 8 4 11 7 3 19 12 21 23 6 15 25 13 9 22 16 18 17 10 24 1 5 14 2
bur26f,STEEPEST,3834195,18 23 4 2 11 21 22 6 10 0 1 15 25 16 17 19 8 9 24 12 13 5 20 7 14 3
bur26f,STEEPEST,3800233,9 22 14 19 17 0 3 15 5 25 8 12 1 2 18 4 20 11 13 10 16 23 7 21 24 6
bur26f,STEEPEST,3795023,2 20 8 15 12 24 5 4 13 23 1 7 6 11 21 9 22 17 18 16 10 25 3 0 14 19
bur26f,STEEPEST,3821531,10 23 5 7 12 24 25 4 18 20 19 14 15 13 0 8 2 11 16 17 9 6 21 3 1 22
bur26f,STEEPEST,3782754,7 20 11 3 17 23 2 15 18 8 6 0 4 19 9 1 22 10 12 13 16 14 5 21 25 24
bur26f,STEEPEST,3801017,15 2 12 19 18 4 1 9 7 8 5 14 22 3 16 21 0 13 11 10 17 20 24 23 6 25
bur26f,STEEPEST,3794964,19 2 25 8 10 6 15 4 13 22 21 7 24 12 0 9 23 17 16 18 11 5 14 1 3 20
bur26f,STEEPEST,3782701,8 23 13 22 18 0 20 6 17 7 5 2 14 21 9 3 1 12 11 10 16 19 25 4 15 24
bur26f,STEEPEST,3783431,8 1 13 4 18 22 0 7 16 5 24 23 3 2 9 14 20 12 10 11 17 19 6 21 25 15
bur26f,STEEPEST,3800223,8 24 3 19 18 0 14 15 17 23 25 2 21 16 11 4 1 12 13 10 9 22 6 20 7 5
